ID,Company_Name,Address,Telephone,Facsimile,Email,Website
169718, 69 Smith Street Gallery,,,,,http://www.69smithstreet.com.au/
168368,Sydney Grammar School A.B. 'Banjo' Paterson Library,College Street    Darlinghurst       NSW   2010     AUSTRALIA,0293325879,0293315164,library@sydgram.nsw.edu.au,http://www.sydgram.nsw.edu.au
21574,Reserve Bank of Australia A.S. Holmes Library,65 Martin Pl    SYDNEY       NSW   2000     AUSTRALIA,02 9551 8864,,reslib@rba.gov.au,http://www.rba.gov.au/
20702,"CSIRO AAHL Library, Geelong  - Document Delivery Service",5 Portarlington Road    GEELONG       VIC   3220     AUSTRALIA,03  9545 7866/7875,03  9545 7882,docdel@csiro.au,http://www.csiro.au/
20358,Australian Associated Press Information Services Pty Ltd. AAP Library,Level 5    530 Collins Street     MELBOURNE       VIC   3000     AUSTRALIA,03 9619 9300,03 9619 9370,,http://aap.com.au/
158328,Australian Broadcasting Corporation ABC Archive,ACT         AUSTRALIA,,,,http://www.abc.net.au/
158330,Australian Broadcasting Corporation ABC Pool,ACT         AUSTRALIA,,,,http://www.abc.net.au/
159708,Australian Broadcasting Corporation ABC Radio National,ACT         AUSTRALIA,,,,http://www.abc.net.au/
19683,Australian Broadcasting Corporation ABC Reference Library,700 Harris Street    ULTIMO       NSW   2007     AUSTRALIA,02 8333 2560,,library.research@abc.net.au,http://www.abc.net.au/
159828,Australian Broadcasting Corporation ABC Television - Four Corners,ACT         AUSTRALIA,,,,http://www.abc.net.au/
29312,Australian College of Applied Psychology ACAP Library (Sydney)  - Interlibrary loan and document supply,"Level 8, 255 Elizabeth Street    Sydney       NSW   2000     AUSTRALIA",02 9964 6352,02 9964 6370,doc.del@acap.edu.au,http://www.acap.edu.au/
21309,Australian Competition and Consumer Commission ACCC Library,23 Marcus Clarke St    Canberra       ACT   2601     AUSTRALIA,02 6243 1292,,library@accc.gov.au,http://www.accc.gov.au/
21378,Australian Chamber of Commerce and Industry ACCI Library Canberra,Commerce House    24 Brisbane Ave     BARTON       ACT   2600     AUSTRALIA,02 6273 2311,02 6273 3196,,http://www.acci.asn.au/
20434,Australian Chamber of Commerce and Industry ACCI Library Melbourne,Level 4    55 Exhibition St     MELBOURNE       VIC   3000     AUSTRALIA,03 9289 5289,03 9289 5250,,http://www.acci.asn.au/
19628,Australian Centre for International Agricultural Research ACIAR Library,ACIAR House    Traeger Ct / Fern Hill Pk     BRUCE       ACT   2617     AUSTRALIA,02 6217 0571,02 6217 0501,jedryk@aciar.gov.au,http://www.aciar.gov.au/
19769,Australian Centre for Languages ACL Library,157 Gloucester St    THE ROCKS       NSW   2000     AUSTRALIA,02 9742 5277,,,http://www.acl.edu.au
19695,AIDS Council of New South Wales ACON Knowledge Centre  - Document Delivery,414 Elizabeth Street    SURRY HILLS       NSW   2010     AUSTRALIA,02 9206 2005,02 9206 2069,library@acon.org.au,http://www.acon.org.au/
25679,Sexual Health and Family Planning ACT ACT Family Planning Library,Health Promotion Centre    Childers Street     Canberra       ACT   2601     AUSTRALIA,02 6247 3018,02 6257 5710,library@familyplanningact.org.au,http://www.shfpact.org.au/
177969,Libraries ACT ACT Heritage Library,255 Canberra Avenue    FYSHWICK       ACT   2609     AUSTRALIA,02 6207 5163,,act.heritage.library@act.gov.au,http://www.library.act.gov.au/
19632, ACT Legislative Assembly Library,"Level 1, North Building    180 London Circuit     CANBERRA       ACT   2601     AUSTRALIA",02 6205 0397,02 6205 0392,LALibrary@parliament.act.gov.au,https://www.parliament.act.gov.au/
164831,Ashurst ACT Library  - Ashurst Canberra Library & Research Services,Level 11    12 Moore Street     CANBERRA       ACT   2601     AUSTRALIA,(03) 9679 3772,(02) 6234 4111,library.research@ashurst.com,http://www.blakedawson.com
177345,Australian Catholic University ACU Art collection,,,,,https://artsandculture.acu.edu.au/our_collections/the_acu_art_collection
173188,Australian Catholic University ACU Research Bank,Digital Commons    Digital Commons       ACT   2612     AUSTRALIA,,,,http://acuresearchbank.acu.edu.au
21675,National Electricity Market Management Company AEMO - Information Centre,"Level 22, 6 O'Connell Street    SYDNEY       NSW   2000     AUSTRALIA",02 9239 9145,02 9233 1965,infocentre@aemo.com.au,https://aemo.com.au/
21521,Australian Education Union (Victorian Branch) AEU Victorian Branch Information Services  - Inter Library Loans,112 Trenerry Crescent    ABBOTSFORD       VIC   3067     AUSTRALIA,03 9418 4912,03 9417 6198,library@aeuvic.asn.au,http://www.aeuvic.asn.au/
20372,RMIT University AFI Research Collection,"AFI Research Collection, School of Media and Communication, RMIT University    Building 8, Level 6, City Campus     MELBOURNE       VIC   3000     AUSTRALIA",03 9925 2829,03 9925 9730,afiresearch@rmit.edu.au,http://www.rmit.edu.au/
19639,Australian Federal Police AFP Library,9 Brisbane Ave    BARTON       ACT   2600     AUSTRALIA,02 51269235,02 61489616,Library-afp@afp.gov.au,http://www.afp.gov.au/
